AutorIn;Titel;Untertitel;Verlag;Mitwirkende;Preis;Erscheinungsjahr;ISBN;Altersempfehlung;Inhaltsbeschreibung;Informationen;Einband;Seitenzahl;Abmessungen;Cover;"Cover DNB";"Cover KNV"
"Gheorghe, Mihai; Tomei, Vlad";"Geht raus, spielen! (Spielesammlung)";"50 Spiele für Draußenkinder";"Boje Verlag";"Übersetzung: Altrock, Laura von";"19,90 €";2019;978-3-414-82531-5;"ab 5 Jahren";"Sind Sie auch im letzten Jahrhundert groß geworden? Haben draußen herumgetobt, sind um die Häuser gezogen, und haben alle möglichen Spiele gespielt? Hüpfekästchen, Fangen und Verstecken. Völkerball, Murmeln und Gummitwist. Sind durch Büsche gekrochen und in Bäche gesprungen? Erinnern Sie sich an all die Spiele? In dieser Box sind 50 davon versammelt: Jede Karte ein Spiel, mit Schritt-für-Schritt-Anleitung. Geben Sie die Box Ihren Kindern, Enkeln, Nichten oder Neffen und schicken Sie sie raus! Und spielen Sie selbst mal wieder Hüpfekästchen. Das macht glücklich!";"Erstauflage, 50 Karten, in einer Box.";Spiel;;;geht-raus-spielen-spielesammlung.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-414-82531-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74196616&kennwort=OEELODHLQCEJVA&variante=zoom&rang=01
"Hall, Rose";"Mein Reiseabenteuer-Tagebuch";"Schreiben, Malen, Neues entdecken";"Usborne Verlag";"Illustration: Allen, Peter";"9,95 €";2019;978-1-78941-053-2;"ab 7 Jahren";"Dieses fröhlich illustrierte Tagebuch steckt voller Anregungen und Informationen zum Thema Reise - und es bietet jede Menge Platz für deine eigenen Einträge und Zeichnungen zu besonderen Urlaubserlebnissen.";;Nonbook;96;"15,4cm x 21,6cm";mein-reiseabenteuer-tagebuch.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-1-78941-053-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74868746&kennwort=DLBOKTEMQGLQGJ&variante=zoom&rang=01
"Kessel, Carola von";"50 Tiere im Zoo, 50 Ktn.";"erkennen & bestimmen";"moses. Verlag";"Illustration: Kolb, Arno";"7,95 €";2019;4033477097910;"ab 6 Jahren";"Von Affe bis Zebra stellt dieses Kartenset die 50 wichtigsten Tierarten in unseren Zoos vor. Der perfekte Begleiter beim nächsten Zoobesuch mit zahlreichen interessanten Fakten und Quizfragen zu den einzelnen Tieren.";;Nonbook;;"9,5cm x 13,7cm";;;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75189746&kennwort=GPNKEGPELRHNCG&variante=zoom&rang=01
"Kessel, Carola von";"50 Tierspuren entdecken & zuordnen, 50 Ktn.";;"moses. Verlag";"Mitarbeit: Kessel, Carola von; Träger, Nina. Illustration: Müller, Thomas; Kolb, Arno; Walentowitz, Steffen";"7,95 €";2015;4033477097248;"ab 6 Jahren";"Viele Kinder (und Erwachsene!) können eine frische Tierspur heute nicht mehr so leicht zuordnen. Diese wunderschön gestaltete Schachtel mit 50 Karten und einem ausführlichen Leporello kann da Abhilfe schaffen! Sie ist nützliche Begleiter auf dem Familien-Spaziergang. Neben Infos zu den heimischen Tieren bieten sie spannende Quizfragen - nicht nur für Kinder!";"Mit farbigen Illustrationen, in Schachtel.";Nonbook;;"9,4cm x 13,4cm";;;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=52802565&kennwort=NOKFNNEHMQEILN&variante=zoom&rang=01
"Merkel, Daniela";"Was gehört zusammen? - Berufe (Kinderspiel)";"Mein Maxi-Memo. Ab 2 Spielern. Spieldauer: variabel. Mit extragroßen Karten";Magellan;"Illustration: Merkel, Daniela";"12,00 €";2019;4280000943873;"ab 3 Jahren";"Hier ist der Gärtner, aber wo hat sich seine Gießkanne versteckt? Und wer findet bloß den Löschschlauch der Feuerwehrfrau?Bei diesen Spieleklassikern mit Memory-Karten im XL-Format sind ein gutes Gedächtnis und Kombinationsgabe gefragt: Zusammengehörige Paare wie ""Feuerwehrfrau"" und ""Löschschlauch"" oder ""Zahnbürste"" und ""Zahnpasta"" sind unter den verdeckten Karten zuzuordnen und später wiederzufinden. Wer am Ende die meisten Bildpaare findet, gewinnt!";"In Spielebox.";Spiel;;"20,2cm x 20,2cm";was-gehoert-zusammen-berufe-kinderspiel.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=4280000943873;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75218586&kennwort=QFINRFJMODPKSC&variante=zoom&rang=01
"Waldron, Hannah";"Magische Geschichten-Würfel: Piraten";"9 Holzwürfel zum Geschichten erzählen";"moses. Verlag";"Illustration: Waldron, Hannah";"11,95 €";2016;4033477902429;"ab 6 Jahren";"Diese Würfel erwecken die wundersamsten Geschichten zum Leben. Acht der neun Würfel bilden die Grundlage für die Geschichte - mit etwas Glück kommt auch der neunte Würfel zum Einsatz: er kann der Hauptfigur Superkräfte verleihen!";"In Schachtel.";Nonbook;;"9cm x 9cm";;;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=55622593&kennwort=SJODIMPFSOHIQE&variante=zoom&rang=01
"Allert, Judith";"Mein dickes Osterbuch";"Vorlesen, Basteln, Mitmachen";Carlsen;"Illustration: Kunkel, Daniela; Hellmeier, Horst; Jeschke, Stefanie";"15,00 €";2019;978-3-551-51057-0;"von 4 bis 8 Jahren";"Gehen Osterhasen auch zur Schule? Was passiert, wenn aus dem Osterei ein Dino schlüpft? Wer bemalt eigentlich die ganzen Ostereier? Und wie wird man einen Osterschluckauf los?. Viele abwechslungsreiche Vorlesegeschichten erzählen von großem Osterspaß und verrückten Frühlingsabenteuern. Tolle Mitmach-Ideen machen Lust auf den Frühling und vertreiben die Langeweile, bis draußen endlich die Sonne scheint.. Inhalt:. - 20 Vorlesegeschichten mit menschlichen, tierischen und außerirdischen Helden. - interaktive Geschichten: die Kinder werden aufgefordert, selber Aktionen mit dem Buch auszuführen, Geschichten weiterzudenken und kreativ zu werden. - Bastelanleitungen. - einfache Rezepte. - tolle Suchbilder. Das perfekte Oster-Buch für die ganze Familie und viele gemütliche Vorlesestunden!";"Mit zahlreichen bunten Bildern.";gebunden;144;"21,4cm x 25,8cm";mein-dickes-osterbuch.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-51057-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73019800&kennwort=MMNOCNHONDFJMP&variante=zoom&rang=01
"Berner, Rotraut Susanne";"Frühlingszeit mit Maxi Pixi";"Pick Pick Picknick; Die Ostersucherei; Der kleine Rabe Socke freut sich auf den Frühling!; Herr Hase und der ungebetene Gast";Carlsen;"Mitarbeit: Berner, Rotraut Susanne; Moost, Nele; Jakobs, Günther. Illustration: Warnes, Tim; Berner, Rotraut Susanne; Jakobs, Günther";"39,80 €";2019;978-3-551-05583-5;"von 3 bis 7 Jahren";"In dieser Maxi-Pixi-Box sind gleich vier fröhliche Bilderbücher für die Osterzeit versammelt: Freche Frühlingsgeschichten mit dem kleinen Rabe Socke, eine turbulente Ostereier-Suchgeschichte und beliebte Bilderbuchklassiker - Vorlesespaß für die ganze Familie! Maxi Pixi - die kleinen großen Bilderbücher im Softcover.";"Mit zahlreichen bunten Bildern.";geheftet;24;"15,7cm x 16,1cm";fruehlingszeit-mit-maxi-pixi.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-05583-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73019925&kennwort=SJODJMPFSOHIQE&variante=zoom&rang=01
"Grimm, Sandra";"Wer hockt im Grase? Der ... Osterhase!";;Carlsen;"Illustration: Elitez, Marion";"8,99 €";2019;978-3-551-17111-5;"von 1 bis 3 Jahren";"Wer hockt im hohen Grase? Na klar, der Osterhase! Und der ist mit Bemalen und Verstecken sehr vieler Eier beschäftigt. Reime und Ausziehseiten laden zum Mitsprechen und Raten ein. Eine Osterhasengeschichte mit Witz und Lerneffekt.";"Mit zahlreichen bunten Bildern und Schiebern, unzerreißbar.";Pappband;12;"18cm x 18cm";wer-hockt-im-grase-der-osterhase.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-17111-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73019822&kennwort=NOKFNNEHMQEJLN&variante=zoom&rang=01
"Kugler, Christine";"Tut, tut, hier saust der Osterhase!";;Arena;;"13,00 €";2019;978-3-401-71294-9;"ab 2 Jahren";"Bald ist schon Ostern! Jetzt aber fix, kleiner Osterhase! Kaum sind die Eier kunterbunt angemalt, föhnt Leni Schaf sie auch schon trocken. Und dann verteilen die Freunde die Eier mit dem Ostermobil: So macht das Eierverstecken den größten Spaß!";"Unzerreißbar Formgestanzt mit Register aus Filzfiguren.";Pappband;12;"16,2cm x 22,2cm";tut-tut-hier-saust-der-osterhase.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71294-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138187&kennwort=PBILQEINPBGSNF&variante=zoom&rang=01
"Langreuter, Jutta; Frey, Jana; Carolat, Greta";"Die schönsten Geschichten zur Osterzeit";;Arena;"Illustration: Ackroyd, Dorothea; Dahle, Stefanie; Kugler, Christine";"7,99 €";2019;978-3-401-51138-2;"ab 3 Jahren";"Endlich steht Ostern vor der Tür!. Hase Josi und Julchen Kaninchen erleben die spannendsten Abenteuer. Und auch Osterhase Möhrchen hat alle Hände voll zu tun, dass an Ostern auch in jedem Nest ein buntes Ei liegt.. Enthält die Einzeltitel:So lieb hab ich nur dichHase Möhrchen und die fliegenden OstereierIch hab dich doch lieb, Julchen Kaninchen";"Mit Illustrationen.";kartoniert;88;"15,9cm x 21,5cm";die-schoensten-geschichten-zur-osterzeit.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-51138-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138005&kennwort=JILOSDEITNEDJL&variante=zoom&rang=01
"Busch, Nikki";"Mein lustiger Vorschul-Rätselblock";"Rätsel für die Vorschule";Carlsen;"Illustration: Hahn, Christiane";"4,99 €";2019;978-3-551-18297-5;"von 5 bis 7 Jahren";"Vorschulkinder, aufgepasst: Mit diesem Block werdet ihr garantiert fit für den Schulstart! Auf 160 Seiten warten spaßige Aufgaben rund um Buchstaben und Zahlen, Schwungübungen und Malspiele. Wer löst sie alle und wird Rätselkönig? Ideal für Vorschulkinder und Schulanfänger ab 5 Jahren.";"Schwarz-weiß illustriert, geblockt.";kartoniert;160;"14,8cm x 21,2cm";mein-lustiger-vorschul-raetselblock.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-18297-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75261091&kennwort=NOKFNNEHMQEKLN&variante=zoom&rang=01
"Busch, Nikki";"Mein dicker Ferien-Rätselblock";"Nikki Buschs spannender Ferien-Rätselblock";Carlsen;"Illustration: Hahn, Christiane";"4,99 €";2019;978-3-551-18296-8;"von 8 bis 10 Jahren";"Der Besteller unter den Ferienblöcken: 160 Seiten voller spaßiger Rätsel, Quiz- und Scherzfragen!. Du zählst am Strand die Sandkörner? Du hast mindestens 99 Postkarten verschickt? Und dir ist immer noch sooo langweilig? Dann ist dieser Rätselblock genau das Richtige für dich! Blatt für Blatt warten über 160 spannende Rätselaufgaben mit Anti-Langeweile-Garantie. Ob zu Hause oder auf Reisen, allein oder mit Freunden - leg einfach los!. Mit Spielebögen für dich und deine Freunde. Ab 8 Jahren";"Schwarz-weiß illustriert, geblockt.";kartoniert;160;"14,8cm x 21,2cm";mein-dicker-ferien-raetselblock.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-18296-8;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75261045&kennwort=NOKFNNEHMQEKLN&variante=zoom&rang=01
"Carter, James";"Das große Weltall";"Die Geschichte der Raumfahrt";"360 Grad";"Übersetzung: Hofmann, E. M. Illustration: Cushley, Aaron";"12,90 €";2019;978-3-96185-016-7;"Keine Altersangabe";"Schon immer wollten die Menschen fliegen können. Dann haben sie es geschafft ... 10, 9, 8, 7, 6, 5, 4, 3, 2, 1 - START. Und los gehts: Mit diesem Buch fliegen die Kinder los und erkunden die Geschichte der Raumfahrt. Es geht ums Träumen vom Fliegen, um mutige Forscher und tollkühne Raumfahrer, um den ersten Menschen im Weltraum und die Mondlandung - also um Abenteuer im großen Weltall!. - Weltraumgeschichte und Wissenschaft für die Jüngsten!- Perfekt zum 50. Jahrestag der Mondlandung!- Optimal zum Vorlesen, Entdecken und fürs erste Selbstlesen!";"Für Kinder & Jugendliche.";gebunden;32;"25,2cm x 28,8cm";das-grosse-weltall.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-96185-016-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75717306&kennwort=JLMQLFMLRDHKNS&variante=zoom&rang=01
"Coster, Patience";"Die schönsten Mandalas zum Entspannen";;Arena;"Illustration: Coster, Patience";"6,99 €";2019;978-3-401-71415-8;"ab 8 Jahren";"Vor allem Mandalas sind seit jeher Quellen der Ruhe und Kraft. In diesem Band laden 60 traumhafte Motive ein in die Welt der freien Fantasie.";"Mit UV-Lackierung auf dem Cover.";kartoniert;128;"22,6cm x 28,1cm";die-schoensten-mandalas-zum-entspannen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71415-8;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73612467&kennwort=PBILQEIOPBGSNF&variante=zoom&rang=01
"Davies, Nicola";"Mein erstes großes Buch vom Meer";;Aladin;"Übersetzung: Naumann, Ebi. Illustration: Sutton, Emily";"25,00 €";2019;978-3-8489-0152-4;"ab 6 Jahren";"Muscheln suchen, Sandburgen bauen, der Geruch der Häfen und von Seetang, das Knattern der Takelage im Wind. Nicola Davies' poetische Texte wecken die Sehnsucht nach dem Meer und besingen es in all seiner Schönheit.";;gebunden;104;"27,2cm x 29,7cm";mein-erstes-grosses-buch-vom-meer.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8489-0152-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73578176&kennwort=QJODKMPFSOHIQE&variante=zoom&rang=01
"Desmond, Jenni";"Der Elefant";;Aladin;"Übersetzung: Birkenstädt, Sophie";"16,95 €";2019;978-3-8489-0166-1;"von 4 bis 8 Jahren";"Der Elefant ist das größte Landsäugetier auf unserem Planeten. Mit seinem starken Rüssel kann er kleine Bäume ausreißen. Seine Ohren werden nicht selten groß wie ein Gefrierschrank und er ist so schwer wie vier Autos. Trotzdem sehen seine Bewegungen anmutig und leichtfüßig aus. Denn in Wirklichkeit geht er auf Zehenspitzen.. Mit klaren Worten und faszinierenden Bildern entführt Jenni Desmond uns in die Welt der sanftmütigen Riesen und macht deutlich, wie sehr sie auf unseren Schutz angewiesen sind.";"21 Farbabbildungen.";gebunden;48;"24,8cm x 30cm";der-elefant.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8489-0166-1;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73578198&kennwort=FLBOKTEMQGLQHJ&variante=zoom&rang=01
"Heine, Stefan";"Lieblingsrätsel - Worte und Wissen";"Kreuzworträtsel, Buchstabensalat, Geheimcodes und vieles mehr";Carlsen;;"4,99 €";2019;978-3-551-31819-0;"von 8 bis 12 Jahren";"Hallo Rätselfan! Du löst gern Buchstabenrätsel und auch sonst gefallen dir Worte viel besser als Zahlen? Dann bist du hier genau richtig! Quiz, Kreuzworte, Geheimcodes, Brückenrätsel, Buchstabensalate und viele weitere Rätselarten warten nur darauf, von dir gelöst zu werden.";"Mit Schwarz-Weiß-lllustrationen.";kartoniert;144;;lieblingsraetsel-worte-und-wissen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31819-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75260868&kennwort=PBILQEJJPBGSNF&variante=zoom&rang=01
"Kluivert, Shane";"An den Herd und losgekocht!";"40 kinderleichte Rezepte Schritt für Schritt erklärt. Mit Vorwort von Julian Draxler";"Dorling Kindersley";;"12,95 €";2019;978-3-8310-3744-5;"ab 8 Jahren";"Cooles Kinderkochbuch von Barcelonas jüngstem Fußball-Star!Den Ball kicken wie ein Weltmeister, die Pfannkuchen wenden wie ein Sternekoch - Shane Kluivert, der Shootingstar von FC Barcelona Alevín , zeigt auf Instagram und YouTube, dass er beides kann! Jetzt begeistert der berühmte Nachwuchsfußballer mit seinem ersten Buch Kids vom Thema Kochen. Er verrät Mädchen und Jungs , wie sie seine 40 gesunden und bunten Lieblingsgerichte Schritt für Schritt nachmachen - ob Brotpizza, Tortilla oder Mango-Smoothie. Mit einem Vorwort von Fußball-Nationalspieler Julian Draxler !. Das perfekte Kinderkochbuch - für Jungs und Mädchen:- Einfach nachvollziehbare Schritt-für-Schritt-Anleitungen.- Persönliche Einblicke.- Übersichtlicher Aufbau.- Wertvolle Tipps und Hinweise.- Tolle Gestaltung.. Aufgepasst: Pro verkauftem Buch geht 1EUR an das Kluivert Dog Rescue Center!.  Lust, loszulegen? Dann nichts wie ran an den Herd! Jetzt das Kinderkochbuch bestellen und im Nu schwingen die Kids mit Fußball-Star Shane Kluivert den Kochlöffel.";"Mit farbigen Fotos.";gebunden;144;"19,7cm x 25,1cm";an-den-herd-und-losgekocht.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8310-3744-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74771465&kennwort=PBILQEJJPBGSNF&variante=zoom&rang=01
"Parigger, Harald";"Land in Flammen";"Ein Leben im Schatten des Dreißigjährigen Krieges. Mit Porträts von Gustav Adolf, Maximilian I. von Bayern, Kardinal Richelieu, Wallenstein, Tilly";Arena;;"9,99 €";2019;978-3-401-60391-9;"ab 12 Jahren";"Ein Leben im Schatten des Dreißigjährigen Krieges. Mit Porträts von: Gustav Adolf, Maximilian I. von Bayern, Kardinal Richelieu, Wallenstein, Tilly. Wenn der Krieg das ganze Leben bestimmt, kann sich ein Mensch den Frieden kaum vorstellen. Gottlieb, ein Findelkind, zieht seit den 1630ern mit einem Söldnerheer durch das brennende Deutschland. Der Dreißigjährige Krieg hat das Land erfasst. Die Söldner morden und brandschatzen im Auftrag ständig wechselnder Herren. Ein Ende des Krieges ist nicht in Sicht. Doch Gottlieb bewahrt sich seine Menschlichkeit. Er entflieht dem Heer und findet ein neues Zuhause in Ulm. Als Schreiber des Stadtrates darf er erleben, was kaum noch zu erhoffen war: Die Friedensverträge von 1648. Eine historisch fundierte Erzählung, die diesen komplexen Krieg auf das Wichtigste reduziert. Sie macht für junge Lese erfahrbar, was es bedeutet, im Krieg zu leben.";;kartoniert;112;"13cm x 20,1cm";land-in-flammen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-60391-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73663843&kennwort=QFINRFLMODPKSC&variante=zoom&rang=01
"Roth, Lena; Thabet, Edith";"Mein Lern- und Übungsblock Vorschule. Mein Lern- und Übungsblock Vorschule - Buchstabenrätsel und Zahlenspiele";;Arena;"Illustration: Heimrich, Heike; Woernle, Hela";"3,99 €";2019;978-3-401-71399-1;"ab 5 Jahren";"Erste Buchstaben- und Zahlenrätsel trainieren spielerisch logisches Denken und Kombinationsgeschick und bereiten ganz nebenbei auf den Schulanfang vor. So wird Lernen zum großen Spaß!";Geblockt.;kartoniert;80;"15,2cm x 20,4cm";mein-lern-und-uebungsblock-vorschule-mein-lern-und-uebungsblock-vorschule-buchstabenraetsel-und-zahlenspiele.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71399-1;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73612375&kennwort=OXCKKREJNRHIKP&variante=zoom&rang=01
;"Ab in die Sonne";"Die schönsten Sommergeschichten. Bilderbuch";"NordSüd Verlag";;"20,00 €";2019;978-3-314-10480-0;"ab 4 Jahren";"Endlich Sommer! Endlich draußen spielen! Endlich baden!Die schönsten Sommergeschichten aus dem NordSüd-Programm erzählen von Spiel, Spaß und Sonnenschein. Die perfekte Lektüre für die Hängematte oder den Badestrand!";"Durchgehend farbig illustriert.";gebunden;176;"22cm x 28,6cm";ab-in-die-sonne.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-314-10480-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74793024&kennwort=MXCKKREJNSDIKP&variante=zoom&rang=01
"Auer, Margit";"Das große Vorlesebuch für kleine Helden";"Humorvolle und spannende Geschichten für Mädchen und Jungs";Carlsen;"Illustration: Kranz, Sabine";"16,00 €";2019;978-3-551-51095-2;"von 4 bis 8 Jahren";"Dieser große Sammelband mit Vorlesegeschichten von Margit Auer ist eine wahre Schatzkiste unterschiedlichster Texte, mal spannend, mal bewegend, mal turbulent und auch mal still.. Margit Auers Geschichten sind geprägt von sprudelnder Fantasie, klugem Humor, sozialem Engagement und stiller Wärme. Margit Auer nimmt die Kinder auf ganz besondere Weise ernst, was die Leser spüren, und wofür sie Margit Auer verehren. Mit vier ganz neuen Geschichten!";;gebunden;144;"21,8cm x 26cm";das-grosse-vorlesebuch-fuer-kleine-helden.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-51095-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75259548&kennwort=EMPFSOHIQEKPFG&variante=zoom&rang=01
"Hein, Christoph";"Alles, was du brauchst";"Die 20 wichtigsten Dinge im Leben";Hanser;"Illustration: Berner, Rotraut Susanne";"15,00 €";2019;978-3-446-26273-7;"ab 5 Jahren";"Was ist wirklich wichtig im Leben? Ein charmanter Blick auf 20 Dinge, die Kinder brauchen und keiner entbehren sollte. Das Wichtigste ist natürlich ein Freund, auf den man sich immer verlassen kann. Und eine Mutter, die - auch wenn sie nervt - für einen sorgt und uns tröstet. Eine Tante oder Oma, die immer Zeit zum Spielen hat, ist unverzichtbar, und ein Haus- oder Stofftier zum Kuscheln. Ein Kinderzimmer, ein Bett und ein Fahrrad muss jeder besitzen. Und ein Lieblingsgericht sollte man kochen und ein Instrument spielen können. Christoph Hein weiß außerdem gute Gründe, warum Entdeckungen und Erfindungen besonders wichtig sind. Und warum eine gute Geschichte, Tränen und das Verliebtsein unser Glück perfekt machen.";;gebunden;64;"13,9cm x 21,8cm";alles-was-du-brauchst.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-446-26273-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73544530&kennwort=PPHHORGKPPFHMY&variante=zoom&rang=01
"Hellstern, Jan";"Wir sind die wilden Rabauken!";"Vorlesegeschichten für Kindergartenkinder";Ellermann;"Illustration: Korthues, Barbara";"15,00 €";2019;978-3-7707-0036-3;"ab 3 Jahren";"Als unsere Kita-Gruppe das Zahnkrokodil besiegte.Mika, Charlotte, Emil, Nino und Frieda gehen zusammen in die Oktopus-Gruppe in ihrer Kita. Natürlich muss man da immer zusammen halten, schließlich warten dort wilde Abenteuer. Einen Schatz suchen zum Beispiel, gegen das gefährliche Zahnkrokodil kämpfen oder mit dem Piratenschiff hinaus in die Welt fahren. Ein Buch mitten aus dem fantastischen Kinderalltag.Die wilden Rabauken, das sind fünf Freunde, die tolle Abenteuer in ihrer Kita erleben,aus Sicht der Kinder erzählt - zwischen buntem Alltag und kindlicher Fantasie.";;gebunden;128;"19,9cm x 24,7cm";wir-sind-die-wilden-rabauken.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7707-0036-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73419740&kennwort=RBILQEJJPBGSNF&variante=zoom&rang=01
"Inden, Charlotte";"Bei mir zu Hause wohnt ein Tiger";"Kleine Geschichten zum Vorlesen";Hanser;"Illustration: Grigo, Pe";"13,00 €";2019;978-3-446-26215-7;"ab 3 Jahren";"""Theo Tiger möchte nicht ohne mich sein. Also nehme ich ihn überallhin mit."" 42 Minutengeschichten zum Vorlesen aus dem Leben eines Dreijährigen";"Durchgehend farbig illustriert.";gebunden;96;;bei-mir-zu-hause-wohnt-ein-tiger.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-446-26215-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73544322&kennwort=GGKNRBFGKVPGFL&variante=zoom&rang=01
"Laube, Christina";Dornröschen;;Knesebeck;"Mitarbeit: Laube, Christina. Illustration: Zaeri, Mehrdad";"25,00 €";2019;978-3-95728-186-9;"von 0 bis 6 Jahren";"Als dem Königspaar eine Tochter geboren wird, lädt es die Feen des Königreichs zum Fest ein - nur für die dreizehnte Fee ist kein Platz, denn es gibt nicht genügend goldene Teller. Erbost verflucht die Fee die Prinzessin: Im Alter von 15 Jahren soll sie sich an einer Spindel stechen und sterben. Die zwölfte Fee jedoch, die ihre Wünsche noch nicht geäußert hat, verwandelt den Fluch. Nicht sterben soll Dornröschen, sondern in einen hundertjährigen Schlaf fallen, bis ein Kuss sie rettet... Das zauberhafte Märchen der Gebrüder Grimm nacherzählt von Christina Laube, filigran zum Leben erweckt durch meisterhafte Scherenschnitte von Mehrdad Zaeri.";;gebunden;40;"26,8cm x 32cm";dornroeschen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-95728-186-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73556665&kennwort=QJOEGMPFSOHIQE&variante=zoom&rang=01
